Question,Answer
What does the 'missing hierarchical blocks ' section cover?,missing hierarchical blocks hierarchical schematic opened simetrix needs locate component les contain symbols used hierarchical block however le particular component missing wrong location simetrix able display components symbol unlike library symbols component symbols stored locally schematic le order make possible resolve problem simetrix instead puts place holder symbol place missing symbol place holder symbol diagonal cross repairing missing components component missing either edit schematic identify new location component move les around components expected locations edit schematic select place holder symbol menu hierarchy replace component relocate les use systems le handling tools move component les select menu hierarchy update symbols
What does the ' highlighting' section cover?,highlighting schematic highlighting features work hierarchy menus edit highlight net edit highlighting highlight net name highlight selected net within displayed schematic connected nets schematics hierarchy note following large hierarchies possible mechanism traces hierarchy identify connected nets noticeably slow time taken descend new schematic hierarchical highlighting disabled becomes problem see menu file options general check disabled hierarchy highlighting connectivity information simetrix schematics normally generated netlist created reason possible highlighting incomplete schematic edited since simulation last run highlighting algorithms seeks minimise problem running netlister certain times performance reasons netlist whole hierarchy use menu edit highlighting refresh hierarchical highlights resolve problem netlist complete hierarchy rebuild highlights scratch
What does the ' copying a hierarchy' section cover?,copying hierarchy complete hierarchy may copied archival purposes subject certain conditions follows hierarchy must use relative paths throughout child components must either directory root directory direct descendant root
What does the 'schematic annotations' section cover?,schematic annotations
What does the 'line based annotations ' section cover?,schematic annotations
What does the 'shape based annotations' section cover?,schematic annotations
What does the 'image annotations' section cover?,schematic annotations
What does the 'text annotations ' section cover?,schematic annotations
What does the 'title block' section cover?,title block title block annotations present information schematic title authorship version notes shown gure annotation takes provided information automatically resizes content correctly create title block use menu place annotation add title block open window asking schematic information information provided placed title block annotation line format given may need add line breaks necessary
What does the 'schematic styles ' section cover?,schematic styles styles manage look feel schematic symbol editors control colour backgrounds wires components annotations along line type thickness used styles exist either globally within simetrix environment locally within single schematic local styles transfer schematic le appear users machines styles user override local styles selecting menu edit style use global styles elements schematic least two styles associated one element looks normally one element looks selected advanced cases may additional styles associated single element
What does the 'style editor' section cover?,style editor style editor made four key components shown gure edit styles dialog components style names line settings font settings preview window
How can simplied style editing and creation be edited?,simplied style editing creation simplied methods creating editing styles creating style subset elements schematic create style selection elements within schematic schematic select elements create new style go menu edit style create new style selected enter names used normal style selected styles created press ok
What does the 'advanced style settings ' section cover?,style editor style editor made four key components shown gure edit styles dialog components style names line settings font settings preview window
What does the 'schematic grouping ' section cover?,schematic printing moving element group warning group destruction wires sistors grouped together capacitor dragged grouping warning box red cross appears around group indicate placing capacitor would break grouping elements
What does the 'group breaking' section cover?,group breaking element moved onto group group moved onto another element grouping break shown gure visual indicator shown whilst elements dragged warning group destroyed drag ends state
What does the 'schematic printing' section cover?,schematic printing
What does the 'printing a single schematic sheet' section cover?,schematic printing
What does the 'printing a hierarchical schematic' section cover?,schematic printing
What does the 'file operations' section cover?,file operations
What does the 'saving' section cover?,saving
What does the 'exporting schematic graphics' section cover?,exporting graphics may export schematic graphics applications word processors drawing programs via clipboard see copying graphics clipboard writing le export waveform graphics le select graph menu file save picture select format choice using save type drop box choices windows meta file emf wmf nearly windows applications support graphics import accept format note scalable format therefore suitable high resolution printing scalable vector graphics svg like emf wmf scalable format open format supported programs platforms whereas emf wmf available windows bitmap default image size png jpg bmp available platforms widely supported graphics applications scalable formats offer good quality printed using high resolution printers png default format choose le extension generally format works well schematics graphs choose jpg jpeg format bmp windows bitmap format must explicitly enter jpg bmp le extensions respectively option image size match image size currently displayed screen wish specify different image size use next option bitmap specify image size png jpg bmp must explicitly dene image resolution pixels prompted close le selection dialog box
What does the 'schematic file formats and compatibility with earlier versions' section cover?,schematic file formats compatibility earlier versions lifetime simetrix schematic formats detailed format details binary
What does the 'autosave ' section cover?,properties enable auto saving set autosave interval select menu file options general see autosave interval section schematic sheet
What does the 'properties ' section cover?,restoring properties method restoring instances properties values attributes original symbol especially useful situations symbol edited example add new property wish new property included existing instances symbol restore instances properties follow instructions select instances whose properties wish restore select popup menu restore properties two options new properties add new properties selected instances property present symbol denition schematic instance added properties remain intact properties restore properties symbol denition includes deleting instance properties symbol denition effect restore symbol placed using place symbol library menu note ref properties automatically annotated make unique option must used care dont use unless clear
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'what is a property' section cover?,graphical symbol editor property name function model property property usually value single letter species type device subcircuits hierarchical blocks letter must x types device refer table summary simulator devices property present rst letter ref property used identify device information value property symbol prexed ref property obtain rst word device line netlist hence complying spice syntax wont done rst letter ref property already value model property would unnecessary simulator property required simetrixsimplis product declares simulator symbol compatible purpose advising user part may work particular simulator affect functionality part simulator property one three values simetrix symbol compatible simetrix simulator simplis symbol compatible simplis simulator dual symbol compatible simetrix simplis editing property edit property select press f select popup menu edit propertypinarc open dialog box similar one described without option enter property name make appropriate changes click ok
What does the 'template property' section cover?,template property
How can editing properties in a schematic  be edited?,editing properties schematic unprotected properties symbol placed schematic may edited using popup menu edit properties rst opens dialog listing properties owned device selecting property edit dialog box similar box described dening properties property select protected dialog box still open able change settings
What does the 'restoring properties ' section cover?,restoring properties method restoring instances properties values attributes original symbol especially useful situations symbol edited example add new property wish new property included existing instances symbol restore instances properties follow instructions select instances whose properties wish restore select popup menu restore properties two options new properties add new properties selected instances property present symbol denition schematic instance added properties remain intact properties restore properties symbol denition includes deleting instance properties symbol denition effect restore symbol placed using place symbol library menu note ref properties automatically annotated make unique option must used care dont use unless clear
What does the 'template property ' section cover?,template property
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'template property format' section cover?,template property
What does the 'template scripts ' section cover?,template scripts also possible write script compile line generated netlist generator scripts called template scripts approach enjoy full power scripting language complex devices created manner full details approach please refer script reference manualapplicationsschematic template scripts
What does the ' ltspice compatibility' section cover?,ltspice compatibility
What does the ' symbols for ltspice schematics ' section cover?,symbols ltspice schematics ltspice schematic les embed symbol denitions opened standalone regular symbols resistors transistors diodes shipped ltspice ltspice installed system symbols uses available simetrix locate symbol les using search rules ltspice uses dont ltspice installed system need provide copies symbol les simetrix uses search path symbol les detailed ltspice documentation established experiment following locations searched schematic symbols local folder ie folder schematic mydocumentsltspicexviilibsym subfolders search paths specied ltspice ini le located appdataltspicexviiini section options key symbolsearchpath value list paths separated semicolons
What does the ' opening ltspice schematics ' section cover?,opening ltspice schematics procedure opening ltspice opening simetrix schematic use file open select schematic files le type drop box alternatively simply drag drop ltspice asc le simetrix note double clicking ltspice schematic le open le ltspice mentioned ltspice compatibility symbols schematic must available schematic open correctly ltspice installed system schematic opens correctly ltspice also open correctly simetrix
What does the ' simulating ltspice schematics ' section cover?,ltspice text property styles simetrix attempt use typefaces font sizes original ltspice schematic needs know fonts ltspice using initially simetrix use factory default fonts ltspice uses time writing tahoma font family set bold change setting import current ltspice settings proceed follows select menu tools ltspice font settings import current settings used ltspice click load current ltspice settings button make ltspice schematic rendered simetrix text sizes styles ltspice although note colours usually alter font characteristics deviate ltspice prefer make changes series schematic styles designed ltspice schematics altered manually alter styles using style manager gui note running sequence overwrite changes
What does the ' saving ltspice schematics ' section cover?,saving
What does the ' ltspice text and property styles' section cover?,ltspice text property styles simetrix attempt use typefaces font sizes original ltspice schematic needs know fonts ltspice using initially simetrix use factory default fonts ltspice uses time writing tahoma font family set bold change setting import current ltspice settings proceed follows select menu tools ltspice font settings import current settings used ltspice click load current ltspice settings button make ltspice schematic rendered simetrix text sizes styles ltspice although note colours usually alter font characteristics deviate ltspice prefer make changes series schematic styles designed ltspice schematics altered manually alter styles using style manager gui note running sequence overwrite changes
What does the ' ltspice conguration' section cover?,ltspice text property styles simetrix attempt use typefaces font sizes original ltspice schematic needs know fonts ltspice using initially simetrix use factory default fonts ltspice uses time writing tahoma font family set bold change setting import current ltspice settings proceed follows select menu tools ltspice font settings import current settings used ltspice click load current ltspice settings button make ltspice schematic rendered simetrix text sizes styles ltspice although note colours usually alter font characteristics deviate ltspice prefer make changes series schematic styles designed ltspice schematics altered manually alter styles using style manager gui note running sequence overwrite changes
What does the ' load component values' section cover?,overview load component values feature change schematic symbol property however schematic conguration including symbol placement wiring unchanged load component values feature works simetrix simplis simulator modes caution sure backup schematic loading set component values load conguration le schematic values change action undone load component values feature following load component property values text le change component design according values text le produces report simetrixsimplis command shell detailing properties changed
What is the overview of  overview?,overview process installing third party spice models always fundamentally tricky one
What does the ' menus' section cover?,plotting arbitrary expression wish plot one probe menus simetrix facility plot arbitrary expression node voltages device currents accessed via one menus probe add curve selecting one menus brings dene curve dialog box shown
What does the ' conguration file format ' section cover?,creating conguration file schematic create conguration le schematic follow steps select menu tools load component values create cong file schematic system reads schematic symbols currently selected schematic creates componentvalue conguration le le selection dialog type lename select location save conguration le conguration le contains symbol properties component values successfully loaded property values spaces automatically double quoted per required conguration le format property values protected contain double quote character excluded generated conguration le edit conguration le using menu tools load component values edit conguration file remove load component value directives dont need
What does the ' creating a conguration file from the schematic ' section cover?,creating conguration file schematic create conguration le schematic follow steps select menu tools load component values create cong file schematic system reads schematic symbols currently selected schematic creates componentvalue conguration le le selection dialog type lename select location save conguration le conguration le contains symbol properties component values successfully loaded property values spaces automatically double quoted per required conguration le format property values protected contain double quote character excluded generated conguration le edit conguration le using menu tools load component values edit conguration file remove load component value directives dont need
What does the ' loading a conguration file' section cover?,load component values conguration file format creating conguration file schematic loading conguration file handling shorted disabled components loading xml content automating load component values command line switches automating load component values script
What does the ' handling shorted or disabled components' section cover?,handling shorted disabled components since symbols contain property indicating whether shorted disabled special ag used disable short reenable schematic instance address value ldisabledstatus open ldisabledstatus short ldisabledstatus enable
What does the ' loading xml content ' section cover?,loading xml content xml content loaded within load component values le directly xml le directly loading le completed using fromle tag relative absolute addresses acceptable address value lgmdfilecontents xml version
What does the ' automating load component values with command line switches ' section cover?,load component values conguration file format creating conguration file schematic loading conguration file handling shorted disabled components loading xml content automating load component values command line switches automating load component values script
What does the ' automating load component values with a script' section cover?,load component values conguration file format creating conguration file schematic loading conguration file handling shorted disabled components loading xml content automating load component values command line switches automating load component values script
What does the ' cmos ic design' section cover?,cmos ic design
What does the ' mosfet symbols ' section cover?,mosfet symbols four mosfet symbols supplied use cmos ic design
What does the ' edit length and width ' section cover?,automatic area perimeter calculation optional popup menu edit mos lengthwidth see edit length width edit device length width scale factor menus alter symbol properties w l width length multiplier symbols described designed manner additional parameters ad ps pd nrs nrd may automatically calculated width length use facility append value property parameter denitions dened expressions eg n adw
What does the ' automatic area and perimeter calculation' section cover?,information addition described automatic area perimeter calculation append value property parameters ad etc dene expressions relating width using w orand length using l edit default values l w edit l w properties appropriate edit hidden node terminal devices hidden bulk node three terminal devices dened bulknode property defaults vss nmos devices vdd pmos devices
How can  editing the mos symbols  be edited?,editing mos symbols may wish create mos symbols process use suggest always make copy standard symbols save new name symbol library copied version edit suit ic process applications probably need edit value property see next paragraph editing value property value property denes model name devices parameters except length width multiplier standard value property denes model name defaults n nmos devices p pmos devices edit match model name used process
What does the ' further information ' section cover?,information
What does the ' how symbols are stored' section cover?,symbol library manager note box resized usual way symbols available schematic editor stored library les conventionally extension sxslb symbols installed libraries available placing new part note however symbol placed schematic copy stored locally still view schematic uses symbols installed symbols le grouped categories using tree structure shown symbols box manager allows install uninstall library les move symbols les categories delete symbols copy symbols create new categories also create new empty symbols ready editing symbol editor
What does the ' summary of simulator devices' section cover?,summary simulator devices following information needed dene schematic symbols various devices supported simulator
What does the 'symbol editor and library ' section cover?,graphical symbol editor
What does the 'creating schematic symbols ' section cover?,creating models
What does the 'graphical symbol editor ' section cover?,graphical symbol editor
What does the 'notes ' section cover?,j error always occur real imaginary parts zero using ln ac analysis data see notes log function
What does the 'symbol editor window' section cover?,schematic editor window
What does the 'the elements of a symbol' section cover?,elements graph window
What does the 'creating a new symbol ' section cover?,creating new symbol select menu file new symbol open symbol editor window shown create elements symbol described details provided following sections
How can editing an existing symbol  be edited?,editing existing symbol select menu file symbol manager select symbol wish edit see symbol library manager details wish edit symbol placed open schematic select symbol schematic choose popup menu edit symbol
What does the 'drawing straight line segments ' section cover?,drawing straight line segments drawing straight line segments symbol editor similar drawing wires schematic editor one following select draw segment mode clicking draw segment tool button draw segments using left right mouse buttons press button revert normal mode three button mouse middle button start new segment left button complete segment terminate operation right button terminate without completing current segment enter draw segment mode temporarily pressing f double click left button start new segment
What does the 'drawing arcs circles and ellipses ' section cover?,drawing arcs circles ellipses basic method drawing curved elements case drawing starts must dene startnish angle ellipses ratio height width drawing operation denes start nish points full circles ellipses start nish points opposite sides dedicated menus supplied starting full circle half circle quarter circle everything else use arcs ellipsearc initiated operation cursor change shape showing pencil small circle draw curved segment dragging mouse left key release mouse button operation complete mouse mode revert normal select mode easier demonstrate explain may wish experiment arccircleellipse drawing gain feel system operates note full circles displayed small lled square opposite sides select points pick either one drag resize circle
What does the 'placing and dening pins' section cover?,placing dening pins placing single pin place single pin select propertypin place pin place sheet left clicking mouse desired location note pins always snap major grid points see diagram section symbol editor window rst pin place sheet called pin signies pin name visible symbol placed schematic
What does the 'dening properties' section cover?,editing properties schematic unprotected properties symbol placed schematic may edited using popup menu edit properties rst opens dialog listing properties owned device selecting property edit dialog box similar box described dening properties property select protected dialog box still open able change settings
What does the ' saving symbols' section cover?,saving
What does the 'creating a symbol from a script ' section cover?,creating symbol script creating symbol script method creating symbols programmatically useful creating symbols devices variable characteristic example transformer varying number windings indeed technique employed create symbols builtin transformer models full documentation create symbol script refer script reference manualapplicationsschematic symbol script denition
What does the 'symbol library manager ' section cover?,symbol library manager symbol manager comprehensive system managing symbols libraries store open symbol library manager select menu file symbol manager dialog shown displayed
What does the 'operations' section cover?,curve operations
How can editing system symbol libraries  be edited?,editing menu system
What does the 'how to find and place parts ' section cover?,find place parts simetrix number different ways nding placing parts many parts placed different ways choose depend personal preference methods part selector part selector hierarchical list parts may displayed within main application window part search searches parts available part selector place menu includes model library browser search specication see selecting model specication system parts may also placed place menu many easier locate using part selector toolbar parts available quick easy
What does the 'part selector' section cover?,part selector
What does the 'part search' section cover?,part search part search feature locates part name using keywords attached part click binoculars button schematic editor tool bar open search tool part selector maintains list keywords associated part list also searched results displayed type select whether wish include model library parts search check include model library parts box enable located part desire select list click ok place part schematic usual way
What does the 'model library browser' section cover?,model library browser numbered parts parts located model library may accessed via model library browser select menu place model library open
What does the 'selecting a model by specication' section cover?,selecting model specication classes part select model based desired specication example looking nchannel power fet v max vds rdson less
How can viewing and editing models be edited?,viewing dc operating point results
What does the 'numbered parts in simplis ' section cover?,numbered parts simplis section applies simetrixsimplis product simplis works quite different way simetrix spice result models semiconductor devices completely different reason selection devices available place model library simplis mode simetrix mode however simetrix able convert spice models use simplis supported device placed simplis schematic model parameter extraction routine invoked automatically convert spice model simplis model model parameter extraction process simetrixsimplis automatically runs several spice simulations spice model extracts simplis model parameters piecewise linear pwl model parameters extracted resulting device model run simplis conversion spice models simplis models covered help system navigate simplis documentation simplis parts semiconductors
What does the 'circuit stimulus' section cover?,circuit stimulus
What does the 'waveform generator ' section cover?,waveform generator used create time domain signal transient analysis generator work simetrix simplis modes operation place one devices select menu place voltage sources waveform generator voltage source place current sources waveform generator current source specify signal source select choose popup menu edit part press f bring dialog box shown simplis simulation mode additional check box see notes
What does the 'pwl source ' section cover?,pwl source device used describe piece wise linear source pwl source describe arbitrary wave shape terms timevoltage timecurrent pairs place pwl source select menu place voltage sources pwl source place current sources pwl source edit device select press f edit part popup menu open edit pwl dialog allows enter time voltagecurrent values
What does the 'power supplyfixed current source ' section cover?,power supplyfixed current source select menu place voltage sources power supply place current sources dc source place xed voltage current source devices work simetrix simplis modes
What does the 'ac source' section cover?,ac source small signal analysis modes ac sweep transfer function require ac sources input stimulus place ac source select menu place voltage sources ac source ac analysis place current sources ac source also use universal source see ac source simetrix ie simplis simulations sure check enable ac check box universal source
What does the 'universal source ' section cover?,universal source sources described used simetrix simplis modes operation simetrix mode also universal source provides function transient ac dc sources one device addition universal source may used create random noise source place universal source select menu place voltage sources universal source place current sources universal source edit universal source select device press f popup menu edit part display following dialog box
What does the 'digital sources' section cover?,digital sources digital pulse digital pulse device creates single shot repetitive pulse digital event driven domain digital analog nodes freely interconnected analog parts may connected efcient use analog pulse generator purpose place digital pulse select menu place digital digital pulse place digital digital pulse open emitter place open emitter version wireored requires pull resistor use menu place digital pulldown select device press f equivalent menu enter parameters required single pulse enter period
What does the 'other sources ' section cover?,effect note place recognised cant use netlists models resistors capacitors circuit tolerance select either monte carlo select capacitor tolerances monte carlo select resistor tolerances device tolerances applied following parts capacitors resistors inductors fixed voltage sources fixed current sources voltage controlled voltage sources voltage controlled current sources current controlled voltage sources current controlled current sources lossless transmission lines applied z parameter device tolerance ignored devices
What does the 'generic parts ' section cover?,generic parts
What does the 'simplis primitive parts ' section cover?,simplis example
What does the 'saturable inductors and transformers' section cover?,saturable inductors transformers simetrix supplied number models inductors transformers correctly model saturation models hysteresis parts nearly always custom designed catalogue manufacturers parts semiconductor devices consequently little information needed specify one devices section describes facilities available description models available core materials available models cover range ferrite mpp core materials inductors transformers number windings complete simulation model based library core model generated user interface according winding specication entered placing specifying parts select menu place magnetics saturable transformerinductor see following dialog box
What does the 'ideal transformers' section cover?,ideal transformers ideal transformers may used simetrix simplis modes note simplis operation efcient coupling factors set unity dene ideal transformer select menu place passives ideal transformer open following dialog box
What does the 'dc transformers ' section cover?,dc transformers dc transformer model like normal transformer except effect innite inductance work dc zero magnetisation current place dc transformer select menu place magnetics ideal dc transformer open following dialog box
What does the 'coupling factor ' section cover?,coupling factor standard user interface saturable ideal transformers provide limited exibility specify interwinding coupling factor majority applications coupling factor important issue standard model sufce applications however relative coupling factors different windings important example yback switched mode supply output voltage sensed auxiliary winding instance best performance achieved sense winding strongly coupled secondary transformer likely different coupling factor various windings use external leakage inductances model coupling factor provide additional exibility one approach set user interface coupling factor unity model nonideal coupling using external inductors cases may necessary couple leakage inductors consider example ecore windings one outer leg two inner leg winding taken would approximately coupling core would leakage inductance two windings centre leg would closely coupled windings model leakage inductances centre windings could coupled using mutual inductor method described next section
What does the 'mutual inductors ' section cover?,mutual inductors specify coupling number ideal inductors using mutual inductor device menu schematic symbol dened line text must added netlist see manual entry simulator commands format mutual inductance line
What does the 'resistors ' section cover?,resistors resistors may used simetrix simplis modes note simetrix mode number additional parameters may specied work simplis must specied dual mode operation required select place passives menu edit value use f select popup menu edit part menu usual display following dialog resistors enter value directly result box use base decade updown controls
What does the 'ideal capacitors and inductors' section cover?,ideal capacitors inductors capacitors inductors may used simetrix simplis modes note simetrix mode number additional parameters may specied work simplis must specied dual mode operation required following dialog displayed edit capacitor inductor device value edited manner resistors also supply initial condition denes device behaves dc operating point calculated capacitors either specify device open circuit alternatively specify xed voltage inductors device treated short circuit dene constant current
